yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
APP	P05067	A4_HUMAN	reviewed	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	351;	Homo sapiens (Human)	770
CLTC	Q00610	CLH1_HUMAN	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	1213;	Homo sapiens (Human)	1675
MLEC	Q14165	MLEC_HUMAN	reviewed	Malectin	MLEC KIAA0152	9761;	Homo sapiens (Human)	292
CSRP1	P21291	CSRP1_HUMAN	reviewed	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	1465;	Homo sapiens (Human)	193
CALM3	P0DP25	CALM3_HUMAN	reviewed	Calmodulin-3	CALM3 CALML2 CAM3 CAMC CAMIII	801;805;808;	Homo sapiens (Human)	149
PTPRF	P10586	PTPRF_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	PTPRF LAR	5792;	Homo sapiens (Human)	1907
DNAJB1	P25685	DNJB1_HUMAN	reviewed	DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)	DNAJB1 DNAJ1 HDJ1 HSPF1	3337;	Homo sapiens (Human)	340
XBP1	P17861	XBP1_HUMAN	reviewed	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	XBP1 TREB5 XBP2	7494;	Homo sapiens (Human)	261
GRN	P28799	GRN_HUMAN	reviewed	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	GRN	2896;	Homo sapiens (Human)	593
HK1	P19367	HXK1_HUMAN	reviewed	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	HK1	3098;	Homo sapiens (Human)	917
KDELR2	P33947	ERD22_HUMAN	reviewed	ER lumen protein-retaining receptor 2 (ERD2-like protein 1) (ELP-1) (KDEL endoplasmic reticulum protein retention receptor 2) (KDEL receptor 2)	KDELR2 ERD2.2	11014;	Homo sapiens (Human)	212
SKP1	P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	6500;	Homo sapiens (Human)	163
CAPN1	P07384	CAN1_HUMAN	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	CAPN1 CANPL1 PIG30	823;	Homo sapiens (Human)	714
CALU	O43852	CALU_HUMAN	reviewed	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	813;	Homo sapiens (Human)	315
CTSD	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	1509;	Homo sapiens (Human)	412
MAT2A	P31153	METK2_HUMAN	reviewed	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	MAT2A AMS2 MATA2	4144;	Homo sapiens (Human)	395
STMN1	P16949	STMN1_HUMAN	reviewed	Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)	STMN1 C1orf215 LAP18 OP18	3925;	Homo sapiens (Human)	149
ECH1	Q13011	ECH1_HUMAN	reviewed	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	ECH1	1891;	Homo sapiens (Human)	328
IQGAP1	P46940	IQGA1_HUMAN	reviewed	Ras GTPase-activating-like protein IQGAP1 (p195)	IQGAP1 KIAA0051	8826;	Homo sapiens (Human)	1657
HSPA1A	P0DMV8	HS71A_HUMAN	reviewed	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	HSPA1A HSP72 HSPA1 HSX70	3303;3304;	Homo sapiens (Human)	641
HSPD1	P10809	CH60_HUMAN	reviewed	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	3329;	Homo sapiens (Human)	573
CIRBP	Q14011	CIRBP_HUMAN	reviewed	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	1153;	Homo sapiens (Human)	172
PSME1	Q06323	PSME1_HUMAN	reviewed	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111	5720;	Homo sapiens (Human)	249
PAFAH1B1	P43034	LIS1_HUMAN	reviewed	Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	PAFAH1B1 LIS1 MDCR MDS PAFAHA	5048;	Homo sapiens (Human)	410
HYOU1	Q9Y4L1	HYOU1_HUMAN	reviewed	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	HYOU1 GRP170 ORP150	10525;	Homo sapiens (Human)	999
PSMD2	Q13200	PSMD2_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	5708;	Homo sapiens (Human)	908
EPRS	P07814	SYEP_HUMAN	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	2058;	Homo sapiens (Human)	1512
PSMD4	P55036	PSMD4_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1	5710;	Homo sapiens (Human)	377
PGAM1	P18669	PGAM1_HUMAN	reviewed	Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)	PGAM1 PGAMA CDABP0006	5223;	Homo sapiens (Human)	254
STAT1	P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	6772;	Homo sapiens (Human)	750
FKBP4	Q02790	FKBP4_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	2288;	Homo sapiens (Human)	459
KTN1	Q86UP2	KTN1_HUMAN	reviewed	Kinectin (CG-1 antigen) (Kinesin receptor)	KTN1 CG1 KIAA0004	3895;	Homo sapiens (Human)	1357
TMED10	P49755	TMEDA_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 10 (Protein TMED10) (21 kDa transmembrane-trafficking protein) (S31I125) (S31III125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1) (p24delta1) (p24delta)	TMED10 TMP21	10972;	Homo sapiens (Human)	219
ALDOA	P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	226;	Homo sapiens (Human)	364
TSPAN3	O60637	TSN3_HUMAN	reviewed	Tetraspanin-3 (Tspan-3) (Tetraspanin TM4-A) (Transmembrane 4 superfamily member 8)	TSPAN3 TM4SF8	10099;	Homo sapiens (Human)	253
GNAS	O95467	GNAS3_HUMAN	reviewed	Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide]	GNAS GNAS1	2778;	Homo sapiens (Human)	245
GNAS	P63092	GNAS2_HUMAN	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)	GNAS GNAS1 GSP	2778;	Homo sapiens (Human)	394
GNAS	P84996	ALEX_HUMAN	reviewed	Protein ALEX (Alternative gene product encoded by XL-exon)	GNAS GNAS1	2778;	Homo sapiens (Human)	626
GNAS	Q5JWF2	GNAS1_HUMAN	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)	GNAS GNAS1	2778;	Homo sapiens (Human)	1037
HIF1A	Q16665	HIF1A_HUMAN	reviewed	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8)	HIF1A BHLHE78 MOP1 PASD8	3091;	Homo sapiens (Human)	826
AARS	P49588	SYAC_HUMAN	reviewed	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	16;	Homo sapiens (Human)	968
RPN1	P04843	RPN1_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	RPN1	6184;	Homo sapiens (Human)	607
PAICS	P22234	PUR6_HUMAN	reviewed	Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]	PAICS ADE2 AIRC PAIS	10606;	Homo sapiens (Human)	425
BLCAP	P62952	BLCAP_HUMAN	reviewed	Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10)	BLCAP BC10	10904;	Homo sapiens (Human)	87
HADH	P40939	ECHA_HUMAN	reviewed	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	HADHA HADH	3030;	Homo sapiens (Human)	763
HADH	Q16836	HCDH_HUMAN	reviewed	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	HADH HAD HAD1 HADHSC SCHAD	3033;	Homo sapiens (Human)	314
GNAI2	P04899	GNAI2_HUMAN	reviewed	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	GNAI2 GNAI2B	2771;	Homo sapiens (Human)	355
PSMF1	Q92530	PSMF1_HUMAN	reviewed	Proteasome inhibitor PI31 subunit (hPI31)	PSMF1	9491;	Homo sapiens (Human)	271
MYL9	P24844	MYL9_HUMAN	reviewed	Myosin regulatory light polypeptide 9 (20 kDa myosin light chain) (LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)	MYL9 MLC2 MRLC1 MYRL2	10398;	Homo sapiens (Human)	172
MMP2	P08253	MMP2_HUMAN	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	4313;	Homo sapiens (Human)	660
SMARCC1	Q92922	SMRC1_HUMAN	reviewed	SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1)	SMARCC1 BAF155	6599;	Homo sapiens (Human)	1105
TM9SF2	Q99805	TM9S2_HUMAN	reviewed	Transmembrane 9 superfamily member 2 (p76)	TM9SF2	9375;	Homo sapiens (Human)	663
PIP4K2B	P78356	PI42B_HUMAN	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)	PIP4K2B PIP5K2B	8396;	Homo sapiens (Human)	416
PXN	P49023	PAXI_HUMAN	reviewed	Paxillin	PXN	5829;	Homo sapiens (Human)	591
COPB2	P35606	COPB2_HUMAN	reviewed	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	COPB2	9276;	Homo sapiens (Human)	906
PFKL	P17858	PFKAL_HUMAN	reviewed	ATP-dependent 6-phosphofructokinase, liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase)	PFKL	5211;	Homo sapiens (Human)	780
PGRMC1	O00264	PGRC1_HUMAN	reviewed	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	PGRMC1 HPR6.6 PGRMC	10857;	Homo sapiens (Human)	195
ITGB5	P18084	ITB5_HUMAN	reviewed	Integrin beta-5	ITGB5	3693;	Homo sapiens (Human)	799
PLP2	Q04941	PLP2_HUMAN	reviewed	Proteolipid protein 2 (Differentiation-dependent protein A4) (Intestinal membrane A4 protein)	PLP2 A4	5355;	Homo sapiens (Human)	152
NFE2L2	Q16236	NF2L2_HUMAN	reviewed	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2	4780;	Homo sapiens (Human)	605
MBNL1	Q9NR56	MBNL1_HUMAN	reviewed	Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein)	MBNL1 EXP KIAA0428 MBNL	4154;	Homo sapiens (Human)	388
NMT1	P30419	NMT1_HUMAN	reviewed	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1)	NMT1 NMT	4836;	Homo sapiens (Human)	496
BHLHE40	O14503	BHE40_HUMAN	reviewed	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	8553;	Homo sapiens (Human)	412
TERF2IP	Q9NYB0	TE2IP_HUMAN	reviewed	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1)	TERF2IP DRIP5 RAP1 PP8000	54386;	Homo sapiens (Human)	399
FBXO7	Q9Y3I1	FBX7_HUMAN	reviewed	F-box only protein 7	FBXO7 FBX7	25793;	Homo sapiens (Human)	522
HTRA1	Q92743	HTRA1_HUMAN	reviewed	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	HTRA1 HTRA PRSS11	5654;	Homo sapiens (Human)	480
LRPAP1	P30533	AMRP_HUMAN	reviewed	Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)	LRPAP1 A2MRAP	4043;	Homo sapiens (Human)	357
CREG1	O75629	CREG1_HUMAN	reviewed	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	CREG1 CREG UNQ727/PRO1409	8804;	Homo sapiens (Human)	220
PCNA	P12004	PCNA_HUMAN	reviewed	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	5111;	Homo sapiens (Human)	261
LGMN	Q99538	LGMN_HUMAN	reviewed	Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)	LGMN PRSC1	5641;	Homo sapiens (Human)	433
ILK	Q13418	ILK_HUMAN	reviewed	Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (Beta-integrin-linked kinase) (ILK-1) (ILK-2) (p59ILK)	ILK ILK1 ILK2	3611;	Homo sapiens (Human)	452
ATP1B1	P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1 ATP1B	481;	Homo sapiens (Human)	303
SYPL1	Q16563	SYPL1_HUMAN	reviewed	Synaptophysin-like protein 1 (Pantophysin)	SYPL1 SYPL	6856;	Homo sapiens (Human)	259
TXNRD1	Q16881	TRXR1_HUMAN	reviewed	Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Peroxidase TXNRD1) (EC 1.11.1.2) (Thioredoxin reductase TR1)	TXNRD1 GRIM12 KDRF	7296;	Homo sapiens (Human)	649
NUDCD3	Q8IVD9	NUDC3_HUMAN	reviewed	NudC domain-containing protein 3	NUDCD3 KIAA1068	23386;	Homo sapiens (Human)	361
TOP2A	P11388	TOP2A_HUMAN	reviewed	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	7153;	Homo sapiens (Human)	1531
STK25	O00506	STK25_HUMAN	reviewed	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1	10494;	Homo sapiens (Human)	426
EBNA1BP2	Q99848	EBP2_HUMAN	reviewed	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	EBNA1BP2 EBP2	10969;	Homo sapiens (Human)	306
ARHGEF12	Q9NZN5	ARHGC_HUMAN	reviewed	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	ARHGEF12 KIAA0382 LARG	23365;	Homo sapiens (Human)	1544
SCP2	O14595	CTDS2_HUMAN	reviewed	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 2) (NLI-interacting factor 2) (Protein OS-4) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2) (SCP2)	CTDSP2 NIF2 OS4 SCP2	10106;	Homo sapiens (Human)	271
SCP2	P22307	SCP2_HUMAN	reviewed	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X) (Straight-chain acyl-CoA oxidase) (SCOX)	SCP2	6342;	Homo sapiens (Human)	547
SCP2	Q9BX26	SYCP2_HUMAN	reviewed	Synaptonemal complex protein 2 (SCP-2) (Synaptonemal complex lateral element protein) (hsSCP2)	SYCP2 SCP2	10388;	Homo sapiens (Human)	1530
YME1L1	Q96TA2	YMEL1_HUMAN	reviewed	ATP-dependent zinc metalloprotease YME1L1 (EC 3.4.24.-) (ATP-dependent metalloprotease FtsH1) (Meg-4) (Presenilin-associated metalloprotease) (PAMP) (YME1-like protein 1)	YME1L1 FTSH1 YME1L UNQ1868/PRO4304	10730;	Homo sapiens (Human)	773
TMEM109	Q9BVC6	TM109_HUMAN	reviewed	Transmembrane protein 109 (Mitsugumin-23) (Mg23)	TMEM109	79073;	Homo sapiens (Human)	243
TPD52L2	O43399	TPD54_HUMAN	reviewed	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	7165;	Homo sapiens (Human)	206
CRTAP	O75718	CRTAP_HUMAN	reviewed	Cartilage-associated protein	CRTAP CASP	10491;	Homo sapiens (Human)	401
TRAP1	Q12931	TRAP1_HUMAN	reviewed	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	TRAP1 HSP75	10131;	Homo sapiens (Human)	704
TRAP1	Q58FF3	ENPLL_HUMAN	reviewed	Putative endoplasmin-like protein (Putative heat shock protein 90 kDa beta member 2)	HSP90B2P GRP94B GRP94P1 TRAP1		Homo sapiens (Human)	399
IGF2R	P11717	MPRI_HUMAN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	3482;	Homo sapiens (Human)	2491
PHGDH	O43175	SERA_HUMAN	reviewed	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	PHGDH PGDH3	26227;	Homo sapiens (Human)	533
